0.000000000000000000e+00,0.000000000000000000e+00,7.594907452582463359e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.119999999999999996e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.690000000000000391e-01,-3.629999999999999893e-01,0.000000000000000000e+00,-3.119999999999999996e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.690000000000000391e-01,-3.629999999999999893e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000111e-01,2.000000000000000111e-01,0.000000000000000000e+00,5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000111e-01,-2.000000000000000111e-01,0.000000000000000000e+00,5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.519397611323305843e-03,0.000000000000000000e+00,7.190244998135748578e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.941450508522798324e-01,2.428739784065682677e-03,-5.972165300675149474e-03,1.059016085258180473e+00,-4.774556683140963598e-01,-4.213164889882346450e-04,-4.925908969018853445e-01,1.283802724606621353e-03,-1.188991721152456247e-03,1.058168924336355232e+00,-4.874580668735009614e-01,-1.748549191022247132e-03,-1.643785416753689036e-18,-1.120446962384859315e-17,2.058777982766845542e-17,1.999999999999997891e-01,1.999999999999998723e-01,-7.158994061740855146e-18,6.000000000000004219e-01,1.070904483048443848e-16,-3.227393616003719902e-16,2.510063735005558930e-16,2.000000000000001221e-01,-2.000000000000000111e-01,7.513181974793608132e-18,5.999999999999990896e-01,2.745039319770689800e-17,7.622151215632557575e-16,-2.738593087176590540e-17
7.038795222646611685e-03,0.000000000000000000e+00,6.785582543689033796e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.238197887974885614e-01,3.294833442139895926e-03,-1.366672127865747703e-02,1.346932264173942961e+00,-5.359749902636323782e-01,-2.087421818633122556e-03,-6.208834623789659668e-01,2.183363928294744256e-03,-3.157482006941567197e-03,1.346080023837102013e+00,-5.568341181232764336e-01,-3.836599195966362928e-03,2.544934493959810246e-18,5.639700984156266841e-18,2.355291284222836003e-17,1.999999999999998168e-01,1.999999999999997891e-01,-3.357587746948303723e-17,6.000000000000008660e-01,1.537352090445381639e-16,-8.151061228056225173e-16,3.102171043766807853e-16,1.999999999999997891e-01,-1.999999999999997891e-01,1.200956402151466659e-16,6.000000000000001998e-01,-1.826325635318487045e-16,2.481440930339138578e-16,-2.933777722927770409e-16
9.937226299610994393e-03,0.000000000000000000e+00,6.366835057746771387e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.346621663874896013e-01,2.368899490242268920e-03,-2.346347758238062978e-02,1.594197625327974377e+00,-5.750685251802631903e-01,-5.668454317881059003e-03,-7.301463424973054783e-01,2.356677511554383653e-03,-5.499681696861167916e-03,1.593798409026607299e+00,-6.076186828013767638e-01,-5.979871413467710908e-03,-9.014997165406659891e-18,-5.891366210962689179e-17,-9.134945530425384385e-18,1.999999999999998446e-01,1.999999999999999001e-01,3.441327835052279978e-17,6.000000000000009770e-01,1.288665258320348396e-16,-9.579784889021467294e-16,2.666312966611042299e-16,2.000000000000004552e-01,-1.999999999999999556e-01,6.889571168285515580e-17,5.999999999999984235e-01,-1.070272100641980380e-17,1.260224258145968433e-15,-1.380349681322783408e-16
1.221469084221645483e-02,0.000000000000000000e+00,5.934002540308960238e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.331952227750211160e-01,-1.160481340534313954e-03,-3.600995744792679504e-02,1.827960035133211925e+00,-6.044402296265916075e-01,-1.212894935358960376e-02,-8.267244310827421838e-01,1.768011303402215132e-03,-8.080217521785820062e-03,1.828799477102081461e+00,-6.497065143585190050e-01,-8.268649659638869012e-03,7.879336590308043804e-18,5.270975744343497962e-17,7.496147277352479396e-18,1.999999999999992895e-01,1.999999999999998168e-01,-7.612281764009610368e-18,6.000000000000019762e-01,1.976061517423308254e-16,-1.058353805042982305e-15,2.746617658785600974e-16,1.999999999999999001e-01,-1.999999999999998723e-01,3.904637783594281356e-17,6.000000000000000888e-01,-1.417504039541382323e-16,6.163362500455726495e-17,-2.704337309143046861e-16
1.449215538482191354e-02,0.000000000000000000e+00,5.501170022871149090e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.178211656633948889e-01,-8.435373826767060546e-03,-5.173123835622681077e-02,2.038941208746166023e+00,-6.265095928899331312e-01,-2.252964713982019349e-02,-9.089960320869537869e-01,4.574560864107072764e-04,-1.131742999244269784e-02,2.041381510656896658e+00,-6.854998246286123642e-01,-1.132509066471693027e-02,-9.997159149177441557e-19,9.798440044811586454e-18,3.389166850279879728e-18,1.999999999999996225e-01,1.999999999999998723e-01,-4.121536926430202381e-17,6.000000000000007550e-01,1.752581544500897458e-16,-4.317281432742389794e-16,2.795025690292602973e-16,1.999999999999998168e-01,-1.999999999999998168e-01,-1.104872082307032508e-17,6.000000000000007550e-01,-1.540538588130937401e-16,-6.997447009578091240e-16,-3.099673865563071590e-16
1.925348606486306652e-02,0.000000000000000000e+00,5.124677631415530676e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.771651608535215638e-01,-1.977977924623181005e-02,-6.939113588962723955e-02,2.208232674862512734e+00,-6.353075992869056110e-01,-3.629298176564546563e-02,-9.660185910221427141e-01,-1.908048784207555309e-03,-1.779984550101091495e-02,2.212649092229141967e+00,-7.085211315997765880e-01,-1.788751524851826466e-02,9.469086689381982717e-19,2.347834669167866201e-18,-3.186819329696870921e-18,1.999999999999998446e-01,1.999999999999998446e-01,-8.442640266561658199e-17,6.000000000000005329e-01,2.054481743853205429e-16,-3.174743324779641256e-16,3.369052747834610821e-16,1.999999999999997335e-01,-1.999999999999998168e-01,-7.433924753746226513e-18,6.000000000000008660e-01,-1.521696898800830570e-16,-7.389230011905290943e-16,-2.782170879173322133e-16
2.401481674490421603e-02,0.000000000000000000e+00,4.748185239959913373e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.022801217478910507e+00,-3.760263737192789946e-02,-9.169021659409559710e-02,2.370433973576319353e+00,-6.483633425709497411e-01,-5.726607259787952486e-02,-1.009007383874894970e+00,-6.504097046298239031e-03,-2.625525518249766793e-02,2.377290581220411703e+00,-7.372211732241273907e-01,-2.702782579100045449e-02,5.458644273705791694e-18,4.316982047677485610e-17,-6.431725955449923017e-18,1.999999999999991507e-01,1.999999999999999001e-01,1.169710673386960653e-17,6.000000000000019762e-01,1.871156898998432203e-16,-1.056551497278991257e-15,2.083230969646696075e-16,1.999999999999992062e-01,-1.999999999999998723e-01,-1.128800656608461454e-16,6.000000000000021982e-01,-1.558466299906831815e-16,-1.554663074481524071e-15,-2.080776573922384928e-16
3.188098009673998728e-02,0.000000000000000000e+00,4.442118005982036433e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.040100138973910404e+00,-5.927585005193460738e-02,-1.150515028805239454e-01,2.500552176396421800e+00,-6.635185645910485208e-01,-8.185943486203001163e-02,-1.022641177472389362e+00,-1.395438727645697749e-02,-3.933300254355755199e-02,2.501967009356905525e+00,-7.603110672719045615e-01,-4.164716857916324344e-02,1.909151053259992414e-18,1.220650929286563638e-17,-1.278800088607790302e-17,1.999999999999993172e-01,1.999999999999999001e-01,1.639135576962072881e-17,6.000000000000017542e-01,1.829498348080538221e-16,-1.088685434624225102e-15,2.181484917877820150e-16,1.999999999999992895e-01,-1.999999999999998723e-01,-1.475793092537685464e-17,6.000000000000018652e-01,-2.248824180869231398e-16,-1.078672992187807396e-15,-2.281142591871552040e-16
4.285197612037036641e-02,0.000000000000000000e+00,4.206475929481900411e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.025372441822325120e+00,-8.377796915475302364e-02,-1.404675516160352189e-01,2.610222584396686862e+00,-6.886767013449460739e-01,-1.104251658873829506e-01,-1.007918066398544754e+00,-2.572986804178652859e-02,-5.871044790369369520e-02,2.596520351481059308e+00,-7.814701327235910044e-01,-6.393305120415319898e-02,2.669253749718573072e-18,2.428168210816039393e-17,-1.413211804686573890e-17,1.999999999999997335e-01,1.999999999999999833e-01,9.439151372853195416e-18,6.000000000000005329e-01,1.290737953958639628e-16,-3.562817927789253065e-16,2.188483528548084318e-16,1.999999999999994282e-01,-1.999999999999998723e-01,-1.521466371825443142e-17,6.000000000000017542e-01,-2.085816507779810617e-16,-1.013220769752517555e-15,-2.145766900936898615e-16
