vx,vy,vz,wx,wy,wz,base1,shoulder1,elbow1,base2,shoulder2,elbow2,base3,shoulder3,elbow3,base4,shoulder4,elbow4,com_vx,com_vy,com_wz,height,e1x,e1y,e1z,e2x,e2y,e2z,e3x,e3y,e3z,e4x,e4y,e4z,com_x,com_y,quat_x,quat_y,quat_z,quat_w
-0.023,-0.0005,0.16599999999999948,0.0769999660284105,0.08499996249889472,0.008999996029294735,0.0,0.9,-1.8,0.0,0.9,-1.8,0.0,0.9,-1.8,0.0,0.9,-1.8,-0.023,-0.0005,0.16599999999999948,0.265,0.1934,0.142,-0.26481,0.1934,-0.142,-0.26481,-0.1934,0.142,-0.26481,-0.1934,-0.142,-0.26481,0.0,0.0,0.0,0.0,0.0,1.0
-0.025,0.00025,0.24425000000000002,0.06099996076870827,0.0199999871372814,-0.026499982956897858,-0.00166,0.89622,-1.79919,-0.00158,0.89737,-1.80102,-0.00135,0.89492,-1.79665,-0.00136,0.89621,-1.7988,-0.025,0.00025,0.24425000000000002,0.26832,0.19429,0.14156,-0.2651,0.19423,-0.14242,-0.26448,-0.1925,0.14164,-0.26549,-0.19255,-0.14236,-0.26487,-0.00046,-1e-05,0.0007699994904530058,0.0008499994375130584,8.999994044255913e-05,0.9999993382506569
-0.011999999999999999,0.0017500000000000003,0.2939999999999998,-0.0020473818571873107,-0.11094803469034807,-0.06758366625638067,-0.0024,0.88558,-1.77889,-0.00151,0.88342,-1.77822,-0.00322,0.88242,-1.77436,-0.00305,0.88115,-1.77385,-0.011999999999999999,0.0017500000000000003,0.2939999999999998,0.27477,0.19444,0.14136,-0.26854,0.19493,-0.14241,-0.26828,-0.19212,0.14113,-0.26937,-0.19185,-0.14282,-0.26885,-0.001,1e-05,0.001219998823128703,0.00039999961414055834,-0.0005299994887362398,0.9999990353513959
0.012000000000000002,0.00325,0.21999999999999936,-0.001103065701095325,-0.15894092147177946,-0.048694096671035206,-0.00277,0.8809,-1.75689,0.00309,0.88377,-1.76251,-0.00333,0.87447,-1.75113,-0.00329,0.87047,-1.74795,0.012000000000000002,0.00325,0.21999999999999936,0.28008,0.19273,0.14125,-0.2722,0.19272,-0.14116,-0.27131,-0.1931,0.14109,-0.2732,-0.19244,-0.1429,-0.27308,-0.00094,6e-05,0.0007299985409533743,-0.0013699972617892092,-0.0012599974816455502,0.9999980013059921
0.0265,0.004999999999999999,0.13350000000000029,0.05089766568765225,-0.08706141591256071,-0.004994276936147391,-0.0108,0.88019,-1.74149,0.00899,0.89331,-1.74845,-0.00478,0.86846,-1.73103,-0.00497,0.86526,-1.73018,0.0265,0.004999999999999999,0.13350000000000029,0.28357,0.19081,0.13903,-0.27546,0.18818,-0.13954,-0.27412,-0.19421,0.14068,-0.27661,-0.19345,-0.14337,-0.27581,-0.00052,0.00014,0.0012000051489331391,-0.002780011928361772,-0.001500006436166424,0.9999942907347082
0.031999999999999994,0.00525,0.06750000000000089,0.01845064979762947,0.02593558674389986,0.03158307321238733,-0.01735,0.87662,-1.72456,0.01055,0.88965,-1.7235,-0.00597,0.86438,-1.71777,-0.00641,0.86189,-1.71783,0.031999999999999994,0.00525,0.06750000000000089,0.28542,0.18943,0.13718,-0.27879,0.18566,-0.13907,-0.27826,-0.19493,0.14034,-0.27886,-0.19423,-0.14378,-0.27767,0.00011999999999999999,0.00026,0.0017500047387567477,-0.0031100084214477058,-0.0013600036826909583,0.9999927078339201
0.030500000000000003,0.0045000000000000005,0.03999999999999976,0.0039698738740067165,0.09390689163916524,0.0506771644533784,-0.01888,0.86712,-1.70502,0.01022,0.88175,-1.70483,-0.00522,0.85931,-1.70768,-0.00585,0.8582,-1.7088,0.030500000000000003,0.0045000000000000005,0.03999999999999976,0.28627,0.1893,0.13669,-0.28207,0.18518,-0.13913,-0.28122,-0.19493,0.14054,-0.28041,-0.19446,-0.14363,-0.27918,0.00076,0.00035,0.0015699934614618466,-0.0022599905878367983,-0.0008699963767336348,0.999995835326017
0.027999999999999997,0.004249999999999999,0.05149999999999877,0.006952979335361322,0.05892527037437788,0.04360819495659977,-0.02026,0.8624,-1.69671,0.00864,0.87889,-1.69834,-0.00526,0.85454,-1.69958,-0.00602,0.85356,-1.69925,0.027999999999999997,0.004249999999999999,0.05149999999999877,0.28702,0.18944,0.13627,-0.28353,0.18504,-0.13957,-0.28211,-0.19474,0.14052,-0.28172,-0.19451,-0.14369,-0.28069,0.00134,0.00044,0.0018299954393825486,-0.0012299969346669588,-0.00034999912775076063,0.9999975078593162
0.026999999999999993,0.0045,0.07975000000000065,0.02346798085175528,-0.012049325988980387,0.022506806755610405,-0.02062,0.86082,-1.69145,0.00805,0.87656,-1.6907,-0.00479,0.85054,-1.68984,-0.00565,0.85013,-1.68934,0.026999999999999993,0.0045,0.07975000000000065,0.28833,0.18914,0.13616,-0.2844,0.18458,-0.13972,-0.28326,-0.19499,0.14064,-0.28322,-0.19494,-0.1436,-0.28231,0.00188,0.00052,0.0017099965026332296,-0.0010799977911367766,0.0,0.9999979547562746
0.02725,0.004000000000000003,0.1015000000000002,0.05149290425277516,-0.03401346358841539,0.0074975017315949905,-0.02212,0.85737,-1.68041,0.00634,0.87346,-1.68006,-0.00608,0.84703,-1.67852,-0.00704,0.84711,-1.67856,0.02725,0.004000000000000003,0.1015000000000002,0.29021,0.18852,0.13569,-0.28628,0.1839,-0.1402,-0.28477,-0.19561,0.14027,-0.28514,-0.19563,-0.144,-0.28388,0.00242,0.00062,0.002299991420013011,-0.0014699945162691852,9.999962695708745e-05,0.9999962695708744
