-4.720687866210937500e-04,6.418466567993164062e-03,3.249123692512512207e-01,9.999300262815131735e-01,-2.444215175034235806e-05,5.145397048251197647e-03,1.065208113232161621e-02,9.577354788780212402e-02,9.007340073585510254e-01,-1.631128430366516113e+00,-1.110603660345077515e-01,7.649370431900024414e-01,-1.680819988250732422e+00,6.580125540494918823e-02,7.780249714851379395e-01,-1.461312055587768555e+00,-1.197776049375534058e-01,1.007996439933776855e+00,-1.556731939315795898e+00
-4.994869232177734375e-05,1.239466667175292969e-02,3.138683736324310303e-01,9.997469738890580881e-01,6.816217298747152299e-03,1.215094363963636209e-02,1.766017978599773372e-02,8.898631483316421509e-02,9.260664582252502441e-01,-1.676378250122070312e+00,-9.084437042474746704e-02,8.760175704956054688e-01,-1.721433281898498535e+00,4.600631445646286011e-02,8.102054595947265625e-01,-1.545747399330139160e+00,-1.075633838772773743e-01,9.985159039497375488e-01,-1.475618481636047363e+00
2.647638320922851562e-03,1.792669296264648438e-02,3.027520477771759033e-01,9.994870193118560175e-01,1.438912902277140853e-02,1.387265385641463060e-02,2.502400183919015891e-02,6.553548574447631836e-02,9.735273122787475586e-01,-1.623866200447082520e+00,-9.705088287591934204e-02,9.434648156166076660e-01,-1.677030920982360840e+00,2.505491860210895538e-02,8.478860259056091309e-01,-1.613721966743469238e+00,-1.217225715517997742e-01,1.046759486198425293e+00,-1.504639744758605957e+00
8.083820343017578125e-03,2.339363098144531250e-02,2.965494990348815918e-01,9.993965374781591526e-01,1.267519561407244588e-02,1.009584472306411171e-02,3.072416332691639204e-02,4.877601563930511475e-02,1.018994092941284180e+00,-1.663230895996093750e+00,-1.171486452221870422e-01,9.803525209426879883e-01,-1.684383988380432129e+00,2.073023654520511627e-02,8.984675407409667969e-01,-1.666388750076293945e+00,-1.265770494937896729e-01,1.096354246139526367e+00,-1.531258463859558105e+00
1.580595970153808594e-02,2.903604507446289062e-02,2.960488498210906982e-01,9.993690686840239756e-01,9.820128046634143612e-03,2.989096107620130369e-03,3.400139625418106826e-02,3.496722504496574402e-02,1.051087617874145508e+00,-1.654842972755432129e+00,-1.300522089004516602e-01,1.001292824745178223e+00,-1.647409558296203613e+00,1.490001194179058075e-02,9.500797390937805176e-01,-1.690716147422790527e+00,-1.322335302829742432e-01,1.132440209388732910e+00,-1.521308302879333496e+00
2.465844154357910156e-02,3.460097312927246094e-02,2.960359454154968262e-01,9.993217738442911058e-01,3.111439385642207102e-03,-4.995008242436655387e-03,3.635053174723564678e-02,2.099778503179550171e-02,1.102651238441467285e+00,-1.683293938636779785e+00,-1.274988204240798950e-01,1.026211380958557129e+00,-1.650870800018310547e+00,2.580845914781093597e-02,1.022781014442443848e+00,-1.711584329605102539e+00,-1.231532171368598938e-01,1.197616934776306152e+00,-1.592076778411865234e+00
3.268027305603027344e-02,4.013133049011230469e-02,2.899808585643768311e-01,9.992114736223951521e-01,-5.906923689620784644e-03,-1.042344434857456724e-02,3.785354728158007998e-02,8.829590864479541779e-03,1.196192860603332520e+00,-1.908408284187316895e+00,-1.437495499849319458e-01,1.043654561042785645e+00,-1.794139862060546875e+00,5.182164162397384644e-02,1.157459378242492676e+00,-1.900931596755981445e+00,-1.276801973581314087e-01,1.282072901725769043e+00,-1.806056976318359375e+00
3.916239738464355469e-02,4.543185234069824219e-02,2.786474227905273438e-01,9.991326898553907210e-01,-1.319589741345952340e-02,-6.447149887217121060e-03,3.896370891120157220e-02,5.383315682411193848e-02,1.187949299812316895e+00,-2.185823202133178711e+00,-2.332689315080642700e-01,9.632972478866577148e-01,-1.997669219970703125e+00,1.229150965809822083e-01,1.226193547248840332e+00,-2.164675951004028320e+00,-1.847589761018753052e-01,1.306541323661804199e+00,-2.097135543823242188e+00
4.480218887329101562e-02,5.039167404174804688e-02,2.633578777313232422e-01,9.989976514314532485e-01,-2.087448832853978226e-02,3.681040233147544246e-03,3.942585591035713960e-02,1.789512485265731812e-01,1.014577031135559082e+00,-2.361011266708374023e+00,-3.640304207801818848e-01,7.810803651809692383e-01,-2.158823013305664062e+00,2.340043783187866211e-01,1.206723332405090332e+00,-2.409043550491333008e+00,-2.692538499832153320e-01,1.244343161582946777e+00,-2.388007164001464844e+00
5.039119720458984375e-02,5.542516708374023438e-02,2.470185011625289917e-01,9.985549993546894987e-01,-3.346593088139115935e-02,1.396480577647999689e-02,3.966016809877270788e-02,3.046708405017852783e-01,7.475043535232543945e-01,-2.345639944076538086e+00,-4.526889920234680176e-01,5.593782663345336914e-01,-2.154947280883789062e+00,3.047784566879272461e-01,1.176519989967346191e+00,-2.486175775527954102e+00,-3.001446723937988281e-01,1.120926737785339355e+00,-2.469865798950195312e+00
5.654597282409667969e-02,6.071782112121582031e-02,2.316518872976303101e-01,9.972641382432139157e-01,-5.616453986825990785e-02,2.523786739199722698e-02,4.090028221064669067e-02,3.761501610279083252e-01,5.395940542221069336e-01,-2.177469015121459961e+00,-4.311507344245910645e-01,3.790555000305175781e-01,-2.007358551025390625e+00,2.830760478973388672e-01,1.103900074958801270e+00,-2.262702226638793945e+00,-1.825619786977767944e-01,9.856669902801513672e-01,-2.240055084228515625e+00
6.344676017761230469e-02,6.602239608764648438e-02,2.151784598827362061e-01,9.958519271084879110e-01,-7.236408392499979469e-02,3.255563579465618057e-02,4.452537714620894566e-02,3.695883452892303467e-01,4.834637343883514404e-01,-2.045711755752563477e+00,-3.174138665199279785e-01,2.936239540576934814e-01,-1.852944374084472656e+00,2.566640079021453857e-01,1.044242620468139648e+00,-2.094584226608276367e+00,-4.663484171032905579e-02,8.703652620315551758e-01,-1.973042368888854980e+00
